date,FA544090085.Q,FA543020083.Q,FA543034385.Q,FA544022085.Q,FA543069183.Q,FA543061183.Q,FA543061783.Q,FA543062083.Q,FA543063085.Q,FA544023085.Q,FA543069483.Q,FA543065083.Q,FA543064185.Q,FA543064385.Q,FA543040085.Q,FA543050085.Q,FA543070085.Q,FA543090085.Q,FA544190085.Q,FA543140085.Q,FA543150085.Q,FA543170085.Q,FA543190085.Q
1997:Q1,139772,-688,5140,14780,5644,1868,1828,68,5372,944,260,684,10412,39960,0,0,0,69224,29576,2600,42072,0,-15096
1997:Q2,-2460,384,-764,13212,-676,2988,2680,112,8108,1032,244,788,4368,35548,0,0,0,-56240,18340,1552,41012,0,-24224
1997:Q3,41524,-316,-2180,11124,3252,1328,1528,52,4964,704,160,544,4121,56755,0,0,0,-28684,24236,2096,44336,0,-22196
1997:Q4,145980,3188,1040,1608,-3276,1996,1480,-56,1464,836,16,820,4930,38938,0,0,0,95440,116828,2020,11700,0,103108
1998:Q1,101152,700,1572,24208,8364,-1036,5668,168,11044,3500,1184,2316,11410,45402,0,0,0,14360,97080,15056,113832,0,-31808
1998:Q2,94088,276,7324,18936,3292,-1372,5824,172,11020,1372,464,908,3917,53631,0,0,0,8632,93360,17412,112784,0,-36836
1998:Q3,63836,-448,15804,11108,-5352,-1496,6176,180,11600,-2236,-756,-1480,8951,44737,0,0,0,-14080,65536,11676,34036,0,19824
1998:Q4,106264,-2232,-2036,29840,16272,-2292,5804,156,9900,-2492,-2220,-272,2999,25757,0,0,0,54428,104500,9224,89532,0,5744
1999:Q1,54788,12,9488,6712,-440,-3292,4604,240,5600,1080,316,764,31628,30208,0,0,0,-24340,53196,13764,1436,0,37996
1999:Q2,54612,268,2836,7912,5928,-4172,3536,196,2424,-876,576,-1452,24250,36158,0,0,0,-15936,54652,14712,52856,0,-12916
1999:Q3,78176,-96,18704,-1852,-2092,-4452,3144,180,1368,-636,-204,-432,22754,40314,0,0,0,-1012,79544,10800,-9176,0,77920
1999:Q4,12328,256,3940,14036,-1332,-2440,6604,340,10864,-3532,-4128,596,25691,49557,0,0,0,-77620,11136,18352,124564,0,-131780
2000:Q1,71196,4,-8044,18332,6204,-220,4848,-432,7932,604,4,600,-3948,80488,0,276,84,-16600,67044,18256,127008,84,-78304
2000:Q2,79680,48,-3092,3436,-4036,-264,4756,-448,3428,820,0,820,-2349,54981,0,272,80,25484,90764,13300,53140,80,24244
2000:Q3,89328,-4,552,1348,-5604,-500,4556,-476,3372,-396,-1200,804,-2400,65568,0,276,80,24304,71904,10364,58400,80,3060
2000:Q4,70720,-308,9228,10020,1780,-204,5196,-500,3748,1908,664,1244,2257,28643,0,276,68,18628,59488,8980,19524,68,30916
2001:Q1,44512,-3372,27104,1488,-8552,-3652,6496,0,7196,724,-12,736,-6181,433,0,200,-8,24124,30712,8228,6972,-8,15520
2001:Q2,30172,3040,-10196,4740,-4096,-3688,6436,0,6088,396,0,396,-1233,44873,0,200,28,-11676,48772,65244,13264,28,-29764
2001:Q3,68300,16220,31900,7900,80,-3776,6392,12,5192,836,4,832,5650,8278,0,196,-12,-2668,43560,-13860,9016,-12,48416
2001:Q4,732,23156,-5068,13344,396,-2348,7132,-8,8172,404,-492,896,-2269,28789,0,200,28,-57852,40508,55752,-13408,28,-1864
2002:Q1,-14060,-112,460,18652,-668,4900,11108,-268,3580,816,464,352,10378,40266,0,320,108,-84948,-13144,32736,24288,108,-70276
2002:Q2,56700,36,7036,8148,-8020,3772,9172,-264,3488,432,4,428,17933,5499,0,324,80,17212,57108,26536,-6256,80,36748
2002:Q3,16308,52,13488,41156,20328,4940,11416,-260,4732,440,4,436,-11289,-26579,0,324,64,-1348,16144,-34668,-6252,64,57000
2002:Q4,6320,-324,-7808,22248,-6948,7312,15752,-236,6368,-588,-1240,652,20983,3793,0,320,120,-32424,4452,41976,236,120,-37880
2003:Q1,37768,304,-1744,-5484,-5236,-1556,-3528,324,4512,-32,-220,188,-303,3719,0,-176,-88,41572,37768,2616,-67840,-88,103080
2003:Q2,68260,4012,-17712,-3192,-4096,-1572,-3164,340,5300,-24,-204,180,212,49448,0,-172,-40,35728,67204,30076,-4724,-40,41892
2003:Q3,7208,4044,-6824,-2072,-4044,-1440,-2864,344,5932,-80,-200,120,2683,77365,0,-176,-72,-67660,6236,33684,9304,-72,-36680
2003:Q4,60236,7796,-21024,-1920,-3788,-1540,-2880,348,5940,-224,-348,124,1356,57108,0,-172,-52,17368,56812,42788,-4744,-52,18820
2004:Q1,103456,1480,-2024,-252,-4240,4680,-7700,-72,7080,1044,4,1040,7573,60355,0,124,124,35032,105940,8596,22596,124,74624
2004:Q2,43892,4052,5996,1096,-4044,4720,-7456,-68,7944,1012,0,1012,5900,34524,0,124,116,-8928,44284,5592,30904,116,7672
2004:Q3,43604,4056,2764,-2956,-8088,4724,-7440,-64,7912,1016,0,1016,8052,41444,0,124,112,-11008,40692,3944,52116,112,-15480
2004:Q4,48576,5408,-15392,5372,-1208,4728,-7236,-36,9124,1056,24,1032,1079,40813,0,124,156,9960,47168,8200,40036,156,-1224
2005:Q1,78916,2700,6444,12120,5372,-3976,5444,0,5280,1244,4,1240,13720,34856,80,-636,240,8148,80188,-24656,41784,240,62820
2005:Q2,25736,-8136,-5388,6648,-104,-1776,3236,-16,5308,1192,-4,1196,23516,40676,80,-636,264,-32480,27976,-42960,143312,264,-72640
2005:Q3,54160,-48,7064,6564,-112,-1720,3272,-16,5140,1188,0,1188,-5391,34399,80,-636,280,10660,56188,-9604,37576,280,27936
2005:Q4,53788,-388,-9268,9872,-104,3660,688,68,5560,1092,-200,1292,3043,5257,84,-636,264,44468,57040,-16988,53324,264,20440
2006:Q1,112424,2888,1948,6040,2252,1192,1856,144,596,200,24,176,205,56247,-68,3748,0,41216,110432,32760,110060,1704,-34092
2006:Q2,76060,2872,22784,42612,2220,5304,28068,740,6280,1564,-20,1584,1386,18342,-88,3748,-36,-17124,76244,26596,99256,1668,-51276
2006:Q3,85236,2840,4748,20372,2216,2156,2148,-88,13940,812,0,812,67,45753,-76,3748,-8,6980,83676,24920,97628,1696,-40568
2006:Q4,121972,2384,-4348,17468,2192,-896,6772,56,9344,832,32,800,-19383,50943,-76,3748,8,70396,127024,42912,117168,1712,-34768
2007:Q1,123244,1352,10664,22788,8108,-3380,3888,228,13944,92,4,88,16014,35074,0,796,-240,36704,121160,10072,54412,1496,55180
2007:Q2,104860,1448,6644,15980,8044,-4384,2140,204,9976,-276,-88,-188,-11798,42246,4,796,-224,50040,104484,13948,78040,1512,10984
2007:Q3,61464,9028,11568,20672,8144,-3296,3400,192,12232,20,0,20,1644,47652,0,800,-232,-29688,63892,9608,54432,1504,-1652
2007:Q4,146872,-16860,4024,12592,8172,-4380,1172,140,7488,476,-28,504,-16688,66080,0,800,-264,96712,153116,16196,92308,1472,43140
2008:Q1,-34912,-616,26120,12260,-3708,1172,21116,2700,-9020,-72,40,-112,23222,-398,0,1796,-24,-97200,-27740,6784,23360,984,-58868
2008:Q2,32784,5188,-4100,17024,-3580,8260,15564,2928,-6148,164,48,116,-41787,29703,4,1796,12,24780,37204,-8032,-36456,1020,80672
2008:Q3,10932,2000,22092,17776,-3544,-6752,31864,2652,-6444,-28,48,-76,47015,-17595,0,1800,-40,-62088,17652,15144,58840,968,-57300
2008:Q4,49132,4148,32036,-2096,-3492,-25240,30224,2800,-6388,17456,52,17404,25854,-17514,0,1792,-84,-12460,42576,14392,54584,924,-27324
2009:Q1,-51476,-2828,-2424,-18668,-10600,80,4180,-1112,-11216,-4380,-28,-4352,-7025,12309,0,-748,772,-28484,-59752,-4788,-28072,68,-26960
2009:Q2,42280,-2696,-21972,-3188,-296,2800,2272,352,-8316,-4384,-20,-4364,-14781,72009,0,-744,892,17144,33648,-21004,66720,188,-12256
2009:Q3,63900,-2720,-20604,-12056,-3900,664,1984,-396,-10408,-4436,-28,-4408,-1175,56459,4,-748,948,48228,56180,-14164,37452,244,32648
2009:Q4,-51116,-10976,-18476,-3176,-1428,3292,2460,328,-7828,-4408,-20,-4388,5112,37264,0,-748,852,-56560,-58824,-16536,45332,148,-87768
2010:Q1,92864,2952,-13688,36752,3020,8060,8744,588,16340,-8,-24,16,48578,30218,0,-704,-4,-11232,88688,-13812,63084,-404,39820
2010:Q2,102424,3052,-232,31632,3124,5984,10060,-916,13380,-28,-28,0,34611,30697,-4,-708,-212,3616,100528,-19024,58492,-612,61672
2010:Q3,35128,3092,-8448,36084,3168,8256,9096,8,15556,-76,-28,-48,35531,30901,4,-704,68,-61324,31436,-13676,51724,-332,-6280
2010:Q4,37780,3236,-7508,31348,3320,6004,10556,-1324,12792,-68,-24,-44,45100,22492,0,-708,40,-56152,33080,-21152,70580,-360,-15988
2011:Q1,21812,-968,-1100,-7368,1768,5780,-4492,-148,-10276,-844,-48,-796,23627,5349,3292,-3808,-560,4192,19064,6328,18008,-572,-4700
2011:Q2,21656,-940,1620,-7704,1832,5408,-4188,-208,-10548,-808,-40,-768,11387,1253,3296,-3808,-632,17992,20812,5540,12304,-644,3612
2011:Q3,59512,-2056,9820,-9008,1956,4880,-4248,-272,-11324,-752,-40,-712,823,845,2644,-3808,-744,61748,59016,-3264,-47948,-756,110984
2011:Q4,10800,252,-9380,-9844,-28,5012,-4696,-204,-9928,-804,-44,-760,54643,6417,3760,-3808,-608,-29828,8080,18644,103912,-620,-113856
2012:Q1,22796,-8,-7020,29664,-2024,4772,-10260,540,36636,-8,0,-8,-5026,12590,-1368,-1300,-428,-4300,19124,-20056,126156,-2716,-84260
2012:Q2,11008,44,-2664,31924,-1968,1252,-9096,544,41192,28,4,24,435,10137,-2672,-1300,-432,-24492,9380,-7540,29416,-2720,-9776
2012:Q3,46408,-16,-6160,33444,-2032,4212,-10256,428,41092,-8,0,-8,-3190,1874,-1984,-1300,-428,24176,42512,-8252,21460,-2716,32020
2012:Q4,100548,5340,-2004,41844,-2012,4488,-8896,532,47732,-5168,-568,-4600,1941,-18753,-2308,-1300,-432,81388,101752,-8488,20576,-2720,92384
2013:Q1,2112,-4652,-14632,23508,1848,2540,5288,1360,12472,1836,0,1836,-1556,-9316,108,-56,8,6864,5488,-3304,21324,-84,-12448
2013:Q2,20696,-4680,5752,22008,1796,2612,5060,1336,11204,1884,0,1884,-12066,-23698,-140,-60,8,31688,23668,-7008,3676,-84,27084
2013:Q3,-46164,-4412,-1096,21608,1804,2140,4616,1432,11616,1976,0,1976,-23049,-21827,56,-56,8,-19372,-42732,-11204,-4332,-84,-27112
2013:Q4,-31236,-4140,-6832,24092,1840,532,3716,1800,16204,2068,0,2068,-4629,-26691,80,-60,8,-15132,-29912,-264,22544,-84,-52108
2014:Q1,-50968,204,-3072,3068,1500,1716,-1660,508,1004,1384,0,1384,-38480,-38784,-1160,108,-4,25768,-54164,-812,-30020,-1148,-22184
2014:Q2,5580,148,-3280,12028,1456,1208,2048,420,6896,1388,0,1388,-44674,-28994,-1128,104,-8,69996,2780,-2924,-28620,-1152,35476
2014:Q3,-47640,188,3224,6280,1532,2144,204,540,1860,1464,4,1460,-5933,-36235,-1260,108,-4,-15472,-49888,-1392,-33096,-1148,-14252
2014:Q4,-8504,160,-5416,8660,1524,6232,-6736,824,6816,1488,-4,1492,-29008,-33872,-1212,104,-8,50600,-11536,-2656,-18652,-1152,10924
2015:Q1,285400,-2292,-6364,118680,-3272,6016,3840,4600,107496,52524,19504,33020,-27065,-25171,-8,4,72,175020,291388,144576,60760,72,85980
2015:Q2,-41484,-2172,280,27860,-3104,1548,7412,312,21692,892,64,828,-16200,-32864,-4,0,72,-19348,-29356,9280,-5660,72,-33048
2015:Q3,-44032,-2060,22028,30436,-2932,4244,-1804,1104,29824,1204,120,1084,102463,-46923,-8,4,68,-151244,-28588,15780,-26244,68,-18192
2015:Q4,-61356,-1904,-8176,27852,-1988,512,12532,-4080,20876,7220,-764,7984,43934,-16986,-8,0,76,-113364,-25472,-32,44548,76,-70064
2016:Q1,-72016,3652,1120,20984,-2680,10368,4536,3616,5144,760,-160,920,-34743,-43413,0,-128,-60,-20188,-61376,-1940,-51932,-60,-7444
2016:Q2,-67820,3976,-12884,18120,-2504,8716,3788,2960,5160,904,-136,1040,-23572,-52344,0,-124,-60,-1836,-72260,-3768,-61524,-60,-6908
2016:Q3,-28800,4240,1992,17588,-2428,10108,2900,2580,4428,892,-140,1032,-26234,-41126,4,-132,-60,14036,-25660,2164,-24092,-60,-3672
2016:Q4,16080,4552,-532,4084,-2324,2520,2508,556,824,952,-132,1084,-29724,-44112,0,-124,-64,81048,11856,8460,-2428,-64,5888
2017:Q1,-74572,8940,-3092,7188,-5308,-156,-536,-1372,14560,1656,-88,1744,-4182,-75018,0,-12,4,-10056,-63272,-20548,-25228,4,-17500
2017:Q2,-74252,10024,-2312,1108,-4932,-188,-372,-836,7436,1624,-96,1720,-7267,-71669,0,-8,4,-5756,-40172,-16912,-4760,4,-18504
2017:Q3,-54528,11280,-1384,7416,-4560,-392,-828,-1508,14704,1648,-96,1744,-10869,-68415,0,-16,8,5804,-111860,-26616,-67180,8,-18072
2017:Q4,-41408,12696,-2032,3368,-4208,-80,-516,-1044,9216,1676,-96,1772,-20750,-88494,0,-12,4,52136,-69024,-21008,-32868,4,-15152
2018:Q1,-104760,4960,1488,33624,-2184,1596,8072,620,25520,7512,84,7428,-50745,-93979,0,2912,4,-10536,-104280,4964,-91752,1104,-18596
2018:Q2,-153396,1456,-3776,-21496,-3560,-7376,-8232,-1088,-1240,3692,-484,4176,-49632,-82880,0,2916,8,-3684,-134080,256,-121076,1108,-14368
2018:Q3,-155400,2744,1732,-20736,-2968,-3212,-4740,-252,-9564,5040,-264,5304,-59342,-84714,0,2912,8,-3044,-158208,-3088,-144352,1108,-11876
2018:Q4,-95960,4340,22824,-2572,-2408,-7272,-6232,-328,13668,6824,-16,6840,-56373,-90947,0,2916,-4,17032,-96760,4816,-83240,1096,-19432
2019:Q1,-104544,-1540,-12608,36968,-536,2016,11032,2532,21924,4336,-4148,8484,-15696,-70004,0,-64,8,-45944,-100608,-17808,-49152,-92,-33556
2019:Q2,-61056,-1544,2092,48088,-544,792,11228,2968,33644,4832,-4480,9312,9249,-99154,0,-68,0,-24551,-60264,-12360,-18708,-100,-29096
2019:Q3,-42440,-1968,-704,69196,-676,2076,14396,3364,50036,4876,-4872,9748,4681,-91323,0,-64,-4,-27131,-42584,-9900,-4336,-104,-28244
2019:Q4,-109436,-12192,-1460,-58252,-3828,-8808,-14772,68,-30912,-8436,-5288,-3148,-14647,-84724,0,-64,4,70335,-115804,-19892,-62644,-96,-33172
2020:Q1,-122576,6496,36968,38088,3416,-18568,-22528,1104,74664,-40,0,-40,-21947,-153642,-4,-1936,-12,-26547,-105064,-15928,-95012,-572,6448
2020:Q2,-70460,11424,-8056,-15696,5068,7788,11400,1344,-41296,5852,0,5852,-3107,-63010,0,-1940,12,4060,-67192,-9292,-43312,-548,-14040
2020:Q3,-47128,10180,-4092,58980,4760,4872,5704,1284,42360,3688,0,3688,-9486,-97746,-4,-1936,4,-6716,-46928,-7556,-35740,-556,-3076
2020:Q4,76548,13376,-5016,77300,5956,10840,10096,1876,48532,6712,0,6712,-25126,-88654,0,-1936,8,99884,79108,9876,76228,-552,-6444
2021:Q1,-125824,-10440,-3908,18864,1952,4100,-26204,-1408,40424,712,0,712,-68198,-114334,0,-160,64,51576,-128976,-27052,-112700,4,10772
2021:Q2,-323064,-3512,-5872,-20824,4652,-380,-20224,-36,-4836,8912,0,8912,-119287,-211667,0,-160,76,29270,-326840,-53056,-272532,16,-1268
2021:Q3,-12624,-972,-2336,78588,6200,8184,-11092,2216,73080,13128,0,13128,-84471,-124918,0,-164,60,108461,-16012,-12472,-23100,0,19560
2021:Q4,-44248,536,-1420,107728,7660,10684,-5376,2220,92540,16812,0,16812,-95727,-102036,0,-160,76,29943,-46840,-16080,-47460,16,16684
2022:Q1,-37220,8792,15184,58136,-9240,4152,14020,4960,44244,13868,0,13868,8323,-123745,0,16,-80,-17714,-39200,41532,-12240,20,-68512
2022:Q2,-80748,5356,11324,41324,-10300,-4756,-704,2280,54804,8676,0,8676,14134,-104992,0,16,-96,-56490,-92232,24608,-82196,4,-34648
2022:Q3,18020,9780,2552,59784,-8408,3008,12476,4100,48608,15340,0,15340,-6629,-76143,0,20,-64,13381,12904,38732,15316,36,-41180
2022:Q4,-91420,4224,2436,36520,-9652,-14400,-10512,-2024,73108,6912,0,6912,-34915,-47703,0,20,-44,-58870,-72016,36168,-7768,56,-100472
2023:Q1,-45180,4216,-3196,34128,1368,-6200,-252,836,38376,15408,0,15408,-64008,-127099,0,-304,8,95668,-46464,-18072,-45592,-124,17324
2023:Q2,33768,2036,2004,83508,940,-792,4008,1704,77648,12928,0,12928,-51540,-110884,0,-304,4,96016,34624,-8560,12136,-128,31176
2023:Q3,-88808,-5900,2300,32708,-808,-5800,-10148,1220,48244,436,0,436,-58152,-112567,0,-304,-4,52674,-99340,-34344,-138100,-136,73240
2023:Q4,-45852,3112,4612,1308,1256,-12888,-7400,-2320,22660,16216,0,16216,-83309,-79470,0,-308,12,91975,-63268,-22496,-65512,-120,24860
2024:Q1,-57428,5332,-5008,88540,1220,7308,11388,2520,66104,9352,0,9352,-22190,-136050,0,-8,4,2600,-56316,-2848,-12480,-56,-40932
