date,FU886300095.Q,FU886300065.Q,FU886300025.Q,FU886330075.Q,FU886330035.Q,FU886330045.Q,FU836330053.Q,FU366300095.Q,FU886300095.Q,FU156300003.Q,FU106300011.Q,FU116300001.Q,FU316300001.Q,FU216300001.Q,FU796330005.Q,FU716330005.Q,FU706330005.Q,FU766330005.Q,FU756330005.Q,FU746330005.Q,FU476330005.Q,FU516330005.Q,FU546330005.Q,FU576330005.Q,FU226330005.Q,FU406330005.Q,FU676330023.Q,FU616330005.Q,FU666330005.Q,FU736330005.Q,FU156300103.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,25770,8983,14652,2055,0,1422,633,80,25770,2300,7759,3897,9952,1571,294,4,93,92,0,0,1,16,13,0,0,2,0,22,23,121,10727
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29122,11059,15642,2438,0,1698,740,-17,29122,2970,9485,4905,9512,1875,367,5,101,99,1,0,1,22,19,1,0,1,0,29,29,160,12663
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,31325,12491,16146,2703,0,1914,789,-15,31325,3424,11130,5834,8368,2137,431,6,123,118,3,0,2,28,24,1,0,1,0,30,34,183,15359
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,32283,12799,16588,2888,0,2060,828,8,32283,3657,12019,6439,7518,2176,471,6,140,133,3,0,3,32,27,1,0,1,0,31,39,194,16640
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,33393,13225,17080,3110,0,2247,863,-22,33393,3975,12861,6982,6879,2181,508,6,150,142,4,0,3,38,32,1,0,2,0,32,43,205,18827
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,37725,15240,19072,3513,0,2600,913,-100,37725,4567,14653,7943,7358,2621,578,7,163,154,4,0,5,45,36,1,0,2,0,41,47,236,22720
1952:Q1,9882,3968,5009,928,0,693,235,-22,9882,1209,3818,2064,1963,675,153,2,46,44,1,0,1,11,9,0,0,0,0,14,12,60,5679
1952:Q2,10043,4019,5104,942,0,704,238,-21,10043,1229,3864,2081,2021,693,155,2,47,44,1,0,1,11,9,0,0,0,0,14,12,61,5830
1952:Q3,10251,4090,5219,963,0,722,241,-21,10251,1250,3923,2099,2105,718,158,2,47,45,1,0,1,12,9,0,0,0,0,14,12,62,5872
1952:Q4,10428,4142,5324,983,0,738,245,-21,10428,1270,3993,2118,2177,710,160,2,48,46,1,0,1,12,9,0,0,0,0,14,12,63,6023
1953:Q1,10624,4180,5437,1035,0,784,251,-28,10624,1290,4077,2138,2232,725,163,2,50,47,1,0,2,12,9,0,0,0,0,16,12,62,5891
1953:Q2,10816,4237,5550,1057,0,803,255,-28,10816,1310,4155,2156,2310,721,165,2,51,48,1,0,2,12,9,0,0,0,0,16,12,63,6051
1953:Q3,10955,4282,5630,1070,0,812,259,-27,10955,1329,4226,2173,2330,729,168,2,52,49,1,0,2,12,10,0,0,0,0,17,12,64,6153
1953:Q4,11095,4303,5730,1089,0,828,262,-28,11095,1347,4291,2189,2377,719,171,2,53,50,1,0,2,12,10,0,0,0,0,17,13,66,6200
1954:Q1,11235,4265,5829,1141,0,870,271,2,11235,1364,4351,2204,2430,712,175,2,57,53,2,0,2,12,9,1,0,0,0,19,13,64,6518
1954:Q2,11423,4317,5940,1164,0,890,274,2,11423,1384,4409,2219,2490,743,179,2,58,54,2,0,2,13,10,1,0,0,0,19,13,65,6681
1954:Q3,11575,4353,6033,1188,0,910,277,1,11575,1408,4466,2234,2542,745,181,2,59,55,2,0,2,13,10,1,0,0,0,19,13,66,6631
1954:Q4,11748,4411,6118,1217,0,936,281,2,11748,1434,4522,2249,2600,761,182,2,59,55,2,0,2,13,10,1,0,0,0,19,13,66,6636
1955:Q1,11865,4446,6134,1276,0,983,293,9,11865,1464,4577,2264,2624,753,183,2,59,55,2,0,2,13,10,0,0,0,0,22,13,66,6900
1955:Q2,12045,4514,6218,1303,0,1005,298,10,12045,1496,4662,2289,2646,767,185,2,60,56,2,0,2,13,10,0,0,0,0,22,13,67,7010
1955:Q3,12329,4630,6347,1342,0,1038,305,10,12329,1532,4777,2323,2700,809,190,2,61,57,2,0,2,14,10,0,0,0,0,22,13,68,7132
1955:Q4,12651,4754,6499,1389,0,1077,313,10,12651,1570,4921,2366,2767,832,196,2,63,59,2,0,2,14,10,0,0,0,0,23,13,70,7298
1956:Q1,13036,4881,6684,1470,0,1152,318,1,13036,1611,5097,2418,2842,866,203,2,65,60,2,0,2,15,11,1,0,0,0,25,13,73,7816
1956:Q2,13376,5018,6839,1518,0,1192,327,1,13376,1648,5266,2464,2893,895,210,2,67,62,2,0,2,15,11,1,0,0,0,26,13,75,7927
1956:Q3,13705,5149,6987,1568,0,1233,335,1,13705,1681,5431,2505,2948,925,216,2,69,64,2,0,3,16,12,1,0,0,0,27,14,77,8021
1956:Q4,14008,5265,7124,1619,0,1276,343,1,14008,1710,5591,2540,3002,945,221,2,70,66,2,0,3,16,12,1,0,0,0,27,14,79,8205
1957:Q1,14328,5281,7323,1722,0,1365,357,2,14328,1734,5745,2570,3094,960,225,2,71,66,2,0,3,17,13,1,0,0,0,28,14,79,7876
1957:Q2,14605,5389,7443,1771,0,1407,364,2,14605,1757,5888,2600,3142,988,231,2,73,68,2,0,3,18,13,1,0,0,0,29,14,81,8028
1957:Q3,14872,5481,7561,1828,0,1457,371,3,14872,1777,6018,2632,3208,1000,238,2,75,70,2,0,3,19,14,1,0,0,0,30,14,84,8213
1957:Q4,15112,5560,7662,1888,0,1511,377,3,15112,1796,6137,2665,3268,1002,245,2,78,72,2,0,3,19,14,1,0,0,0,31,15,86,8276
1958:Q1,15273,5468,7820,1984,0,1588,397,1,15273,1813,6243,2700,3270,994,253,3,85,79,3,0,3,19,15,1,0,0,0,32,16,83,8686
1958:Q2,15500,5553,7907,2041,0,1639,402,-0,15500,1832,6342,2729,3318,1019,261,3,88,82,3,0,4,20,15,1,0,0,0,33,17,86,8879
1958:Q3,15736,5632,8006,2098,0,1690,407,1,15736,1855,6431,2754,3387,1044,265,3,89,83,3,0,4,20,15,1,0,0,0,34,17,87,8864
1958:Q4,15945,5695,8103,2146,0,1734,412,1,15945,1880,6513,2773,3449,1061,269,3,90,84,3,0,4,20,15,1,0,0,0,34,17,88,8886
1959:Q1,16117,5740,8123,2252,1,1827,425,2,16117,1908,6586,2772,3492,1072,287,3,106,100,3,0,4,21,16,1,0,0,0,37,16,88,8509
1959:Q2,16280,5784,8199,2297,1,1867,429,1,16280,1935,6653,2785,3543,1077,288,3,106,100,3,0,4,21,16,1,0,0,0,37,16,88,8706
1959:Q3,16447,5827,8277,2342,1,1909,433,1,16447,1961,6714,2796,3603,1086,288,3,106,100,3,0,4,21,16,1,0,0,0,37,16,88,8800
1959:Q4,16599,5867,8348,2384,1,1947,436,1,16599,1986,6769,2804,3658,1095,287,3,106,100,3,0,4,21,16,1,0,0,0,37,16,88,8865
1960:Q1,16746,5950,8284,2511,7,2043,461,2,16746,2011,6818,2809,3713,1109,286,3,100,95,2,0,3,23,17,1,0,0,0,39,14,90,9208
1960:Q2,16897,5992,8350,2554,7,2082,464,3,16897,2034,6870,2827,3768,1123,276,3,90,85,2,0,3,23,17,1,0,0,0,39,14,89,9291
1960:Q3,17051,6038,8415,2597,8,2122,467,2,17051,2055,6925,2841,3819,1139,271,3,85,79,2,0,3,23,17,1,0,0,0,40,14,90,9384
1960:Q4,17206,6088,8476,2642,9,2162,471,1,17206,2075,6984,2853,3867,1154,273,3,85,79,3,0,4,23,17,1,0,0,0,40,14,90,9450
1961:Q1,17374,6132,8475,2767,19,2254,493,1,17374,2094,7047,2862,3922,1171,279,3,90,84,3,0,4,24,18,1,0,2,0,37,14,92,9475
1961:Q2,17546,6188,8543,2815,20,2297,497,1,17546,2114,7113,2875,3973,1188,285,3,93,87,3,0,4,24,18,1,0,2,0,38,15,93,9486
1961:Q3,17741,6247,8628,2865,21,2342,502,1,17741,2134,7184,2892,4038,1205,289,3,95,89,3,0,4,24,19,1,0,2,0,38,15,94,9551
1961:Q4,17944,6312,8720,2912,22,2383,507,1,17944,2155,7259,2913,4101,1225,292,3,96,90,3,0,4,25,19,1,0,2,0,39,15,95,9626
1962:Q1,18176,6382,8761,3030,32,2472,525,3,18176,2176,7338,2938,4179,1250,295,3,99,92,3,0,4,25,19,1,0,1,0,36,15,97,9649
1962:Q2,18382,6452,8852,3075,33,2511,531,4,18382,2199,7421,2962,4230,1274,298,3,98,92,3,0,4,25,20,1,0,1,0,37,16,98,9727
1962:Q3,18638,6527,8970,3137,35,2566,536,4,18638,2223,7507,2984,4330,1294,300,3,98,92,3,0,4,26,20,1,0,1,0,37,16,100,9828
1962:Q4,18902,6610,9090,3199,36,2620,542,3,18902,2249,7597,3004,4431,1318,304,3,99,93,3,0,4,26,20,1,0,1,0,38,16,101,9949
1963:Q1,19130,6639,9185,3307,54,2699,554,0,19130,2276,7690,3022,4495,1339,309,3,105,99,2,0,3,26,20,0,0,1,0,35,17,104,10060
1963:Q2,19381,6723,9298,3361,55,2746,561,-1,19381,2305,7789,3043,4567,1364,313,3,106,100,2,0,3,26,20,0,0,1,0,35,17,106,10170
1963:Q3,19626,6808,9397,3421,57,2797,568,0,19626,2337,7895,3068,4622,1387,317,3,107,101,3,0,4,26,20,1,0,1,0,36,17,108,10317
1963:Q4,19881,6900,9489,3491,59,2857,575,0,19881,2371,8006,3097,4669,1416,321,3,108,102,3,0,4,26,21,1,0,1,0,36,17,109,10464
1964:Q1,20153,6956,9567,3633,85,2955,593,-2,20153,2407,8124,3130,4727,1440,326,3,112,106,3,0,4,27,22,1,0,1,0,32,18,111,10613
1964:Q2,20439,7056,9674,3711,88,3021,602,-1,20439,2447,8252,3166,4778,1465,331,3,113,107,3,0,4,28,22,1,0,1,0,33,18,114,10777
1964:Q3,20736,7162,9793,3782,91,3080,612,-1,20736,2491,8388,3206,4824,1489,340,3,115,109,3,0,4,29,23,1,1,1,0,34,19,116,10929
1964:Q4,21060,7280,9930,3851,93,3136,622,-1,21060,2537,8534,3249,4875,1516,349,3,118,112,3,0,4,29,23,1,1,1,0,35,19,120,11089
1965:Q1,21404,7380,10079,3945,116,3195,634,1,21404,2587,8689,3296,4918,1553,360,3,125,118,3,0,4,32,25,0,0,0,0,33,21,122,11166
1965:Q2,21787,7522,10241,4022,119,3257,646,2,21787,2639,8864,3348,4974,1591,371,3,128,121,3,0,4,33,26,0,0,0,0,34,22,126,11381
1965:Q3,22194,7671,10414,4107,123,3325,659,2,22194,2691,9058,3405,5034,1624,383,3,132,124,3,0,4,34,27,1,0,0,0,35,22,130,11548
1965:Q4,22623,7834,10594,4194,128,3393,674,2,22623,2745,9271,3466,5088,1660,393,3,135,127,3,0,4,35,28,1,0,0,0,36,23,133,11707
1966:Q1,23078,7938,10812,4328,158,3475,695,0,23078,2801,9503,3533,5142,1697,403,3,138,130,3,0,4,37,29,1,0,0,0,35,24,137,11842
1966:Q2,23585,8130,11022,4432,164,3558,711,1,23585,2856,9740,3597,5224,1755,413,3,141,133,3,0,4,38,30,1,0,0,0,35,25,141,12104
1966:Q3,24072,8307,11235,4530,170,3634,726,0,24072,2911,9982,3660,5300,1796,423,3,144,136,3,0,5,39,31,1,0,0,0,36,25,144,12387
1966:Q4,24575,8485,11463,4627,176,3709,742,0,24575,2966,10229,3721,5383,1843,433,3,147,139,3,0,5,40,32,1,0,0,0,38,26,148,12690
1967:Q1,25067,8529,11761,4777,214,3800,763,0,25067,3020,10481,3780,5462,1880,443,3,148,139,3,0,5,41,32,1,0,0,0,40,27,152,12848
1967:Q2,25588,8701,12003,4883,222,3882,779,1,25588,3078,10742,3842,5559,1911,456,3,151,143,4,0,5,42,33,1,0,0,0,41,28,157,13021
1967:Q3,26155,8897,12257,5000,229,3974,797,1,26155,3141,11012,3906,5664,1963,470,3,155,146,4,1,5,44,34,1,1,0,0,42,28,162,13306
1967:Q4,26746,9100,12520,5126,237,4075,815,0,26746,3207,11291,3973,5778,2013,485,3,159,150,4,1,5,45,35,1,1,0,0,44,29,168,13666
1968:Q1,27374,9265,12779,5329,273,4206,850,2,27374,3277,11579,4042,5893,2082,502,3,166,156,4,1,5,46,35,1,0,0,0,52,32,168,14091
1968:Q2,27986,9477,13052,5455,281,4303,871,2,27986,3358,11880,4119,5982,2127,521,3,171,161,4,1,6,48,37,1,0,0,0,54,33,175,14438
1968:Q3,28634,9696,13341,5594,291,4410,894,3,28634,3451,12195,4204,6087,2157,540,3,177,166,4,1,6,49,38,1,1,0,0,56,35,182,14792
1968:Q4,29363,9968,13649,5744,302,4525,918,3,29363,3555,12523,4296,6193,2234,562,3,183,172,4,1,6,51,40,1,1,0,0,58,36,189,15214
1969:Q1,30117,10250,13894,5965,346,4682,937,8,30117,3671,12866,4397,6299,2301,584,4,191,181,4,1,6,51,39,1,0,0,0,64,41,192,15533
1969:Q2,30877,10534,14213,6121,358,4802,962,9,30877,3772,13215,4493,6408,2383,606,4,198,188,4,1,6,53,41,1,0,0,0,67,42,200,15902
1969:Q3,31581,10791,14510,6272,371,4915,987,8,31581,3860,13570,4584,6501,2437,630,4,206,194,4,1,6,55,43,1,1,0,0,69,44,207,16285
1969:Q4,32322,11068,14813,6433,386,5037,1010,8,32322,3933,13934,4671,6611,2523,651,4,212,201,4,1,6,57,44,1,1,0,0,72,45,214,16611
1970:Q1,33060,11249,15110,6697,458,5208,1031,4,33060,3992,14305,4754,6738,2600,672,4,216,205,4,1,6,59,45,1,1,1,0,72,52,221,16942
1970:Q2,33818,11531,15418,6866,474,5336,1055,4,33818,4065,14669,4845,6856,2690,694,4,224,212,4,1,6,61,47,1,1,1,0,74,54,228,17174
1970:Q3,34582,11818,15725,7036,492,5464,1080,4,34582,4154,15026,4943,6966,2776,717,4,231,220,4,1,7,63,48,2,1,2,0,77,56,236,17448
1970:Q4,35378,12131,16035,7208,509,5594,1106,4,35378,4258,15376,5049,7074,2879,741,4,239,227,5,1,7,65,49,2,1,2,0,79,57,244,17780
1971:Q1,36162,12531,16241,7389,562,5730,1097,1,36162,4376,15722,5164,7182,2954,765,4,247,234,5,1,7,66,50,2,1,2,0,78,64,252,18224
1971:Q2,36898,12822,16530,7546,580,5844,1122,0,36898,4495,16058,5278,7253,3026,790,5,254,241,5,1,7,68,52,2,1,2,0,80,66,261,18704
1971:Q3,37590,13093,16808,7688,596,5945,1147,1,37590,4616,16385,5392,7300,3085,813,5,263,249,5,1,8,70,53,2,1,2,0,82,68,269,19070
1971:Q4,38275,13370,17085,7819,612,6036,1172,2,38275,4737,16706,5504,7329,3163,836,5,270,256,5,1,8,72,55,2,1,2,0,85,70,276,19274
1972:Q1,38986,13830,17224,7925,653,6125,1147,7,38986,4860,17020,5616,7402,3230,859,5,280,266,5,1,8,72,55,2,1,4,0,79,76,285,19569
1972:Q2,39737,14117,17534,8079,671,6236,1172,7,39737,4999,17372,5736,7466,3282,884,6,287,273,5,1,8,74,57,2,1,4,0,82,79,294,20040
1972:Q3,40677,14465,17915,8290,692,6398,1201,7,40677,5155,17763,5862,7630,3356,912,6,295,280,5,1,9,77,58,2,1,4,0,85,81,303,20461
1972:Q4,41608,14846,18291,8465,714,6520,1232,6,41608,5327,18194,5994,7705,3445,943,6,304,289,5,1,9,80,60,2,1,4,0,88,84,314,20903
1973:Q1,42623,15566,18439,8572,767,6627,1178,47,42623,5516,18665,6132,7790,3542,979,6,323,307,6,1,10,79,61,2,1,3,0,89,93,322,21312
1973:Q2,43848,16053,18935,8815,795,6806,1215,46,43848,5718,19224,6296,7945,3647,1020,7,337,320,6,1,10,82,63,2,1,3,0,93,97,336,21923
1973:Q3,45310,16608,19528,9129,827,7046,1256,46,45310,5931,19872,6487,8200,3755,1065,7,351,334,6,1,10,86,66,2,1,3,0,97,102,351,22580
1973:Q4,46901,17237,20173,9447,862,7283,1302,45,46901,6157,20609,6705,8419,3896,1117,7,367,349,6,1,11,90,70,2,1,3,0,102,107,368,23138
1974:Q1,48578,18030,20874,9660,921,7505,1235,14,48578,6394,21433,6951,8498,4129,1173,7,399,380,6,1,11,92,73,2,1,3,0,111,110,376,23780
1974:Q2,50531,18885,21641,9992,963,7744,1285,13,50531,6636,22351,7212,8658,4441,1233,7,416,397,7,1,12,97,77,2,1,3,0,117,116,397,24273
1974:Q3,52795,19806,22556,10421,1012,8068,1340,13,52795,6882,23361,7488,8994,4771,1299,7,435,414,7,2,12,103,82,3,1,3,0,124,123,420,25136
1974:Q4,54990,20667,23508,10802,1063,8340,1399,14,54990,7133,24464,7777,9232,5012,1372,8,455,433,8,2,13,109,87,3,1,4,0,131,130,445,26364
1975:Q1,57186,21161,25067,10964,1145,8452,1366,-5,57186,7387,25652,8079,9456,5152,1459,8,506,480,10,2,15,115,94,2,1,4,0,148,130,452,26894
1975:Q2,58945,21800,25903,11247,1190,8640,1417,-5,58945,7622,26666,8336,9572,5214,1534,8,530,502,11,2,15,121,99,3,1,4,0,156,137,477,27459
1975:Q3,60533,22340,26665,11534,1231,8843,1460,-5,60533,7838,27501,8547,9776,5269,1603,8,551,522,11,2,16,127,103,3,1,4,0,163,144,499,28124
1975:Q4,61847,22779,27313,11761,1265,9001,1494,-6,61847,8035,28155,8713,9940,5341,1663,9,569,539,12,3,16,132,107,3,1,4,0,170,150,518,28689
1976:Q1,62981,22962,28116,11913,1338,9099,1477,-10,62981,8212,28621,8836,10174,5415,1723,9,621,585,16,2,18,136,113,2,1,2,0,178,147,514,29691
1976:Q2,64174,23370,28722,12094,1372,9214,1508,-11,64174,8430,29216,8992,10265,5492,1780,9,638,601,16,2,19,141,117,2,1,2,0,184,152,533,30393
1976:Q3,65673,23859,29452,12373,1411,9416,1547,-11,65673,8689,29930,9179,10498,5535,1843,9,657,618,17,3,20,147,122,3,1,2,0,191,158,553,31025
1976:Q4,67398,24457,30266,12685,1455,9639,1591,-10,67398,8988,30763,9398,10734,5602,1914,10,679,639,17,3,21,153,127,3,1,2,0,199,165,576,31705
