date,FL224090045.Q,FL223020043.Q,FL223030043.Q,FL223034043.Q,FL222051043.Q,LM224022045.Q,FL223069143.Q,LM223061143.Q,LM223061743.Q,LM223062043.Q,LM223063045.Q,FL223065043.Q,LM223064145.Q,LM223064243.Q,FL223090045.Q,FL223073045.Q,LM223093043.Q,FL224190043.Q
1991:Q2,1382981,4640,12230,2804,16515,394449,16515,178753,64651,487,134043,16322,328790,10273,596958,592195,4763,1396839
1991:Q3,1417840,3038,9902,3006,20870,391528,20870,163948,64551,549,141610,16675,357453,12235,603133,598101,5032,1432665
1991:Q4,1452538,3807,8828,2950,18868,387730,18868,165494,58038,619,144711,16886,394962,13102,605405,600784,4621,1468491
1992:Q1,1518990,3960,8406,2970,19299,397418,19299,171904,55408,554,150253,16173,388418,14241,668105,663367,4738,1535766
1992:Q2,1585205,4435,8358,2979,20685,402636,20685,177959,49236,534,154222,17066,391220,15673,722153,717412,4741,1603041
1992:Q3,1650894,6409,7910,3090,23573,419036,23573,197677,48036,378,149372,16306,400848,15615,758107,754070,4037,1670316
1992:Q4,1716738,6515,6942,3106,24680,425302,24680,203534,39761,445,156882,16453,431666,17915,784159,779615,4544,1737592
1993:Q1,1746640,5836,7591,3446,25219,424066,25219,204950,32740,460,160697,15645,463983,19457,781397,776760,4637,1768643
1993:Q2,1776016,6129,8601,3766,26344,435798,26344,211378,32078,617,165381,14506,465277,21158,794437,789712,4725,1799694
1993:Q3,1806713,5460,8554,3789,19887,452871,19887,221833,34149,1222,175780,15055,487775,23455,789867,785565,4302,1830745
1993:Q4,1837246,6619,6230,4124,20449,454083,20449,217450,35796,1371,179017,14529,506221,25631,799360,795251,4109,1861796
1994:Q1,1871903,5476,5869,4512,20399,459417,20399,224335,40588,716,173379,14637,492220,26468,842905,839083,3822,1896514
1994:Q2,1906166,5794,5520,4763,22909,458923,22909,220641,45014,845,169514,14941,494757,27578,870981,866907,4074,1931232
1994:Q3,1940469,7137,2636,4807,25093,459577,25093,217370,38390,1104,177620,15024,520213,30529,875453,870822,4631,1965950
1994:Q4,1974674,6737,2483,4958,27825,463505,27825,215554,39872,1112,179142,15199,521682,44781,887504,882917,4587,2000669
1995:Q1,2015445,5139,2536,5071,29519,483917,29519,224973,44665,1053,183707,15397,558839,50241,864786,860559,4227,2042193
1995:Q2,2056715,4687,2594,5443,31257,485294,31257,217221,48067,1131,187618,15558,612334,55761,843787,839206,4581,2083717
1995:Q3,2098118,5145,4209,5614,29383,487519,29383,211282,56192,1374,189288,15746,667210,60148,823144,818310,4834,2125241
1995:Q4,2139336,4207,4464,5894,31477,493864,31477,208194,63118,1830,189245,15938,703520,62902,817070,812269,4801,2166765
1996:Q1,2174027,4772,4969,6330,26428,509040,26428,213528,69231,2271,197582,16126,736723,64753,804886,799730,5156,2202369
1996:Q2,2208806,5883,3871,6593,28179,523235,28179,221067,70214,1297,202478,16324,762670,66448,795603,790165,5438,2237973
1996:Q3,2244562,7186,2274,6988,27573,511657,27573,213439,65037,496,205112,16526,802307,67960,802091,796823,5268,2273577
1996:Q4,2279676,7466,2293,7592,28222,521621,28222,212791,68622,561,211425,16734,846588,73182,775978,770459,5519,2309180
1997:Q1,2314159,5353,5021,8326,27395,541152,27395,211138,78763,2051,221805,16946,848717,73083,788166,783230,4936,2344736
1997:Q2,2349361,8820,2302,8689,32233,557669,32233,214907,78798,2059,229672,17160,952228,84676,685584,680411,5173,2380293
1997:Q3,2384688,6505,2823,9831,32148,573056,32149,223531,81608,2467,233301,17382,1032573,92503,617867,612536,5331,2415849
1997:Q4,2420604,5314,2420,9644,28616,580667,28616,218997,87006,1503,244545,17607,1051316,93362,631658,626080,5578,2451405
1998:Q1,2465658,6666,1653,9710,36927,595950,36927,212146,90116,2080,254681,18673,1153078,106899,536102,530337,5765,2498044
1998:Q2,2512384,7610,1621,9759,35839,613538,35839,213210,98041,2227,264221,20681,1162493,106732,554111,548195,5916,2544683
1998:Q3,2558596,7749,1717,9802,38309,627731,38309,207823,104820,2151,274628,21499,1015882,95796,740111,734308,5803,2591321
1998:Q4,2604846,9973,1983,9949,37532,639064,37532,212576,106104,3252,279600,22410,1188056,115863,580016,574204,5812,2637959
1999:Q1,2654571,7600,2169,10546,41037,657123,41037,211463,113106,4536,286981,22793,1216866,122112,574325,568067,6258,2688561
1999:Q2,2704620,9450,1651,10968,40909,660889,40909,213790,114932,3241,288017,23968,1312387,128360,516038,509514,6524,2739163
1999:Q3,2751895,9370,2120,11736,39259,670704,39259,204790,112839,3122,310694,23855,1231949,120845,642057,635487,6570,2789765
1999:Q4,2799307,9225,1692,11784,40375,681303,40375,198824,129022,3044,310038,25687,1407716,140858,480667,473553,7114,2840366
2000:Q1,2850106,11100,2400,11800,45400,695000,45400,196900,124500,2900,325300,24300,1449700,150600,459806,452829,6977,2894662
2000:Q2,2901688,12778,2869,12107,45179,698673,47652,194886,143291,2836,310008,24741,1408895,155780,540666,533434,7232,2948958
2000:Q3,2954143,12556,4738,12914,41857,704547,46805,185471,159082,2272,310917,21781,1429789,170961,555000,547531,7469,3003255
2000:Q4,3010109,9935,1606,13220,39836,721119,47257,179057,178873,1707,314225,22122,1298683,178341,725247,717031,8216,3057552
2001:Q1,3072707,8313,1475,13827,36015,697891,45909,177342,176064,1943,296633,21862,1185877,170422,937025,927675,9350,3117656
2001:Q2,3134060,13291,1944,14434,38694,708765,51061,183128,194655,1779,278142,20503,1265772,181102,889555,880161,9394,3177759
2001:Q3,3194188,13369,1813,14941,36372,679138,51214,166813,178346,715,282050,20944,1125466,162483,1139662,1129451,10211,3237862
2001:Q4,3254031,11448,1781,15447,33951,668411,51266,155099,180737,1651,279658,20984,1260360,184263,1057386,1047386,10000,3297965
2002:Q1,3306172,12126,2550,15954,32430,675783,52218,163285,181928,686,277666,20925,1294055,193344,1059005,1050112,8893,3351308
2002:Q2,3361515,10195,2677,64950,3821,646827,30565,153232,181204,822,281004,20785,1139181,159383,1313696,1247362,66334,3404651
2002:Q3,3415919,10996,2202,62472,3675,619906,29399,151652,185490,829,252536,21458,1076542,158960,1459708,1395461,64247,3457994
2002:Q4,3468090,13425,2156,70369,4139,591833,33115,144525,183215,837,230141,21863,1076523,173082,1514700,1444468,70232,3511337
2003:Q1,3515493,15324,1970,74885,4405,587654,35240,148527,194101,844,208942,20230,1119439,185643,1505943,1435130,70813,3560490
2003:Q2,3562802,13531,815,55882,3287,606873,26297,161290,215348,851,203087,22796,1142658,202375,1514585,1437565,77020,3609644
2003:Q3,3613128,13335,1003,45105,2653,607667,21226,145602,227955,2701,210183,24904,1185568,215528,1517365,1438703,78662,3658798
2003:Q4,3661765,17579,1458,52663,3098,649747,24782,141252,255699,4552,223462,17662,1254192,236937,1428429,1344134,84295,3707951
2004:Q1,3766159,22554,1958,63239,3720,698312,29759,143710,292533,6403,225907,14643,1232634,242702,1486397,1402470,83927,3810395
2004:Q2,3869052,19657,1984,41304,2430,712039,19437,134943,314380,8253,235026,17755,1295749,268289,1509845,1417415,92430,3912840
2004:Q3,3974811,20715,1945,45854,2719,685053,22063,143825,293540,6592,219033,14779,1257819,243741,1702186,1616644,85542,4015285
2004:Q4,4072327,17527,1477,41539,2484,749930,20437,153823,275299,4930,295441,14238,1471030,263902,1510200,1416534,93666,4117730
2005:Q1,4134057,16917,1270,42578,2568,746021,21421,166952,264351,3268,290029,11888,1473782,255006,1584027,1490682,93345,4177653
2005:Q2,4195502,17480,1181,45984,2797,706993,23658,171517,233454,1607,276757,11653,1491598,257687,1660129,1562363,97766,4237576
2005:Q3,4249703,15516,1299,41421,2541,706434,21794,157240,233987,1676,291737,9579,1505127,254233,1713553,1616296,97257,4297499
2005:Q4,4303327,17902,1710,48184,2983,740044,25929,162596,261243,1746,288530,11322,1530000,256168,1695014,1596028,98986,4357422
2006:Q1,4360404,17113,1907,46673,2915,729410,25690,151826,266551,1816,283527,12105,1696388,279731,1574162,1464580,109582,4422625
2006:Q2,4420970,16516,2117,45667,2879,747230,25713,148982,282646,1885,288004,13254,1650253,263921,1679133,1575258,103875,4487828
2006:Q3,4476958,16261,2127,48296,3073,765614,27819,153858,275797,1785,306355,15435,1674690,268945,1682517,1577389,105128,4553031
2006:Q4,4532135,16276,2171,51605,3314,776414,30412,157228,266089,1685,321000,14428,1734141,281727,1652059,1542639,109420,4618234
2007:Q1,4592493,15020,2052,51417,3334,755093,31004,146314,229283,1585,346907,15841,1751049,281126,1717561,1609925,107636,4687019
2007:Q2,4648516,16243,2251,57848,3789,822281,35696,162417,243732,1484,378952,17517,1873530,293801,1561256,1450326,110930,4755803
2007:Q3,4715515,13612,1786,47336,3131,815111,29894,160898,238025,1427,384867,19311,1880791,288994,1645443,1528190,117253,4824588
2007:Q4,4782103,13727,1701,46605,3114,842539,30126,148802,216443,1370,445798,27118,1839262,264712,1743325,1629406,113919,4893372
2008:Q1,4852113,15730,1877,52416,3539,835055,34685,146695,209852,1313,442510,25599,1737432,238139,1942326,1831732,110594,4960893
2008:Q2,4917645,15709,1774,51157,3491,833388,34659,142011,199394,1256,456068,17114,1769649,218780,2006583,1897917,108666,5028415
2008:Q3,4991312,15462,1438,43886,3027,770520,30445,140704,182566,1184,415621,15501,1602673,201043,2337762,2236710,101052,5095936
2008:Q4,5069235,19307,1563,49812,3474,732359,35391,143751,171851,1112,380254,13181,1299132,167904,2782503,2694876,87627,5163458
2009:Q1,5120938,21909,1549,51675,3645,689698,37607,144548,157976,1040,348527,12716,1219961,150532,2969253,2890792,78461,5213058
2009:Q2,5163198,21968,1247,45527,3248,711949,33944,148094,147962,967,380982,11964,1299017,145291,2922987,2846822,76165,5262657
2009:Q3,5207989,24171,1241,47062,3397,734152,35953,147530,146439,1137,403093,11988,1502218,154396,2729364,2654314,75050,5312256
2009:Q4,5256990,23633,1079,42989,3140,735603,33658,148707,146655,1307,405276,11273,1574956,163838,2700479,2616665,83814,5361855
2010:Q1,5368331,24218,980,41241,3049,753104,33098,155670,152653,1476,410207,11584,1616577,166675,2750903,2665080,85823,5471614
2010:Q2,5486594,25344,913,40590,3039,754333,33399,155945,151968,1646,411375,11787,1491813,160968,2997807,2909890,87917,5581373
2010:Q3,5590058,22747,750,39535,2997,764342,33360,151059,144394,1783,433746,12079,1619569,163555,2964484,2876043,88441,5691132
2010:Q4,5694087,23828,720,44244,3398,765146,38293,153738,144191,1921,427003,11416,1722987,172773,2949575,2854169,95406,5800891
2011:Q1,5735085,26194,736,50809,3954,773772,45118,157095,144649,2058,424852,11106,1772348,180303,2915863,2813194,102669,5846201
2011:Q2,5778648,26456,677,53982,4258,786985,49193,166981,151470,2196,417145,11247,1766572,181104,2947367,2840732,106635,5891511
2011:Q3,5831274,25234,839,48106,3795,728387,43838,152056,123686,1864,406943,13470,1625858,106940,3278645,3169702,108943,5936821
2011:Q4,5870807,23884,998,41967,3311,720796,38244,142217,100515,1532,438288,12678,1735762,90400,3241011,3131069,109942,5982131
2012:Q1,5908724,25982,1245,42866,3381,791166,39063,181555,121954,1200,447394,11143,1938328,55443,3039170,2936590,102580,6028796
2012:Q2,5954916,27367,1473,42307,3337,806507,38553,191115,116380,868,459591,10542,1881620,38342,3143421,3035278,108143,6075460
2012:Q3,5998513,28894,1990,44189,3486,802965,40268,182197,106818,1224,472458,10314,1935270,53810,3117595,3006260,111335,6122124
2012:Q4,6043305,29821,2475,45142,3561,813060,41137,185479,104685,1579,480180,10414,1962660,67305,3108867,2999908,108959,6168789
2013:Q1,6268581,30581,2951,45837,3616,821346,41770,196704,107388,1935,473549,9375,2053219,81978,3219678,3109771,109907,6398310
2013:Q2,6498278,28960,3299,42851,3380,811198,39049,192468,100677,2290,476714,8967,2055993,96217,3447413,3337783,109630,6627831
2013:Q3,6719858,30006,3422,44616,3520,816189,40658,187458,100379,2300,485394,7470,2146169,107578,3560888,3451092,109796,6857353
2013:Q4,6940426,33778,3855,50415,3977,836350,45942,181275,99466,2310,507357,6416,2246766,117814,3641055,3532375,108680,7086874
2014:Q1,7027200,32899,3760,49333,3892,854203,44956,184304,103373,2319,519251,7359,2226300,131076,3718378,3607366,111012,7178133
2014:Q2,7109810,31555,3610,47562,3752,902361,43342,198331,113032,2329,545327,9479,2293029,143707,3674755,3562130,112625,7269393
2014:Q3,7204336,32217,3176,45784,3612,907431,41721,198738,113110,2329,551533,7662,2268488,150935,3785031,3675799,109232,7360652
2014:Q4,7295532,36022,3101,48743,3845,910478,44418,199249,113248,2330,551233,8152,2283589,167065,3834537,3721721,112816,7451912
2015:Q1,7370657,36450,2640,46612,3677,900857,42476,176744,100268,2330,579039,8720,2339626,181085,3850990,3736244,114746,7527443
2015:Q2,7448042,41152,2667,50923,4017,900791,46405,185671,105202,2330,561183,9180,2338699,188718,3911895,3800225,111670,7602974
2015:Q3,7534913,38799,2450,48436,3821,879613,44138,170999,98102,2395,563979,9413,2199783,187848,4164750,4053858,110892,7678505
2015:Q4,7612485,38737,2381,48782,3848,880744,44454,174546,101326,2460,557958,8017,2249974,192377,4187625,4074315,113310,7754036
2016:Q1,7688313,36961,2201,47008,3708,901110,42838,170358,100166,2525,585223,8421,2253409,189138,4246357,4135226,111131,7825895
2016:Q2,7761636,40473,2364,51778,4085,908845,47184,184977,109663,2589,564432,9181,2242570,213484,4288856,4163581,125275,7897754
2016:Q3,7844641,38352,2490,53922,4254,910204,49138,203821,106204,2614,548427,18179,2301148,218654,4297438,4160240,137198,7969613
2016:Q4,7929919,40613,2871,61671,4865,892949,56200,218760,100431,2638,514920,14533,2321541,222220,4368656,4220476,148180,8041471
2017:Q1,8009282,34988,2792,59332,4680,907304,54068,239543,98121,2662,512910,10390,2414005,234757,4341034,4176608,164426,8111378
2017:Q2,8089370,30407,2774,58329,4601,922509,53154,262833,97299,2687,506536,8268,2491333,243268,4327881,4149571,178310,8181286
2017:Q3,8162708,31050,2713,60201,4749,934592,54860,266534,99841,3029,510328,4154,2594443,255365,4275441,4089287,186154,8251194
2017:Q4,8235258,30212,2517,59232,4673,955036,53977,289412,109483,3372,498792,6901,2706807,264039,4205841,4014352,191489,8321102
2018:Q1,8306597,30629,2435,60671,4786,976072,55288,300086,114607,3714,502377,7440,2668510,277381,4278673,4078427,200246,8386280
2018:Q2,8376743,30321,2286,60719,4790,947259,55331,307321,118458,4057,462092,9425,2707756,292300,4321887,4111729,210158,8451459
2018:Q3,8441424,29959,2259,59995,4733,943358,54671,301734,116304,3387,467262,12541,2779599,285511,4323469,4118192,205277,8516638
2018:Q4,8511805,28559,2153,57191,4512,975592,52116,367854,141791,4029,409802,12329,2478604,270505,4682360,4487872,194488,8581816
2019:Q1,8528599,19405,11,21638,3720,1056909,19597,357618,144296,0,535398,9672,2408245,127351,4881648,4338624,543024,8656555
2019:Q2,8610333,24531,1818,16487,3358,1040777,17009,386491,147829,0,489448,8962,2376360,92958,5045082,4265817,779265,8731293
2019:Q3,8676492,29909,1877,16781,11665,1004195,11796,343279,179211,0,469909,9110,2453652,175970,4973333,4311172,662161,8806032
2019:Q4,8736687,22364,4253,21338,6807,966978,12531,333436,169002,0,452009,7977,2555426,170561,4980983,4160188,820795,8880771
2020:Q1,8831437,21934,4035,28865,6635,984144,16575,330431,177766,0,459372,8427,2178980,140672,5457745,4724341,733404,8946404
2020:Q2,8865991,20386,2554,27364,4198,1015913,10505,290066,187853,0,527489,7442,2385957,152063,5250114,4413403,836711,9012037
2020:Q3,8931290,21718,2242,28506,2936,1047826,10510,317957,198167,0,521192,7731,2592344,160584,5067403,4317641,749762,9077670
2020:Q4,9004524,28659,2243,21748,7991,1098234,8805,354404,194023,0,541002,7096,2906142,201222,4731189,3928889,802300,9143303
2021:Q1,9057100,24957,2211,23474,18428,1087914,15390,345802,192905,0,533817,7463,2968699,181637,4742317,3891100,851217,9211414
2021:Q2,9117732,25700,2292,21285,23765,1165628,17843,395522,190553,0,561710,7143,3107705,177651,4586563,3715586,870977,9279525
2021:Q3,9183676,31927,1901,28987,14843,1153223,19322,390732,197389,0,545780,6837,3075012,182789,4688157,3817462,870695,9347637
2021:Q4,9240580,28401,2383,25213,27690,1195836,20542,414170,198743,0,562381,6811,3374155,93323,4486768,3535310,951458,9415748
2022:Q1,9022048,27897,161,23424,20343,1149686,23566,382641,195283,0,548196,6765,3263576,92249,4437947,3483445,954502,9219748
2022:Q2,8859260,27671,1837,19472,21019,1094785,24063,369397,185003,0,516322,7161,2953548,91968,4641799,3650943,990856,9023748
2022:Q3,8664212,26035,87,20269,34387,1042804,14744,339640,170132,0,518288,7871,2808282,88015,4636462,3639135,997327,8827748
2022:Q4,8409855,26718,6472,21313,48765,1043190,11375,327169,165694,0,538952,6586,3006540,53131,4197140,3205038,992102,8631748
2023:Q1,8553315,24862,2786,20525,54675,1119575,11436,365371,159089,0,583679,6721,3023126,111720,4189325,3130117,1059208,8707147
2023:Q2,8626561,29750,44,14352,18041,1099254,12033,361463,172763,0,552995,5824,3185777,81553,4191966,3076469,1115497,8782546
2023:Q3,8703116,30268,2856,16871,55139,1068861,13614,377469,155451,0,522327,5596,3105751,72288,4345486,3261528,1083958,8857945
2023:Q4,8778535,25129,2369,15925,60667,1152752,12139,416398,165197,0,559018,4945,3282883,72651,4161214,3024753,1136461,8933344
2024:Q1,8870703,24732,1344,14578,63642,1159252,12330,430935,163242,0,552745,4535,3414478,79323,4108819,2922738,1186081,9008743
