date,FL313161105.Q,FL313161110.Q,FL313161275.Q,FL893061105.Q,LM153061105.Q,LM103061103.Q,LM113061003.Q,LM213061103.Q,LM713061103.Q,LM713061113.Q,LM713061125.Q,LM763061100.Q,LM753061103.Q,LM743061103.Q,LM473061105.Q,LM513061105.Q,LM513061115.Q,LM513061125.Q,LM543061105.Q,LM543061115.Q,LM543061125.Q,LM573061105.Q,LM573061143.Q,LM573061133.Q,LM343061105.Q,LM343061165.Q,LM343061113.Q,LM223061143.Q,FL633061105.Q,FL633061110.Q,FL633061120.Q,LM653061105.Q,LM653061113.Q,LM653061125.Q,LM553061103.Q,LM563061103.Q,LM403061105.Q,FL673061103.Q,LM663061105.Q,LM733061103.Q,FL503061123.Q,LM263061105.Q,LM263061110.Q,LM263061120.Q,LM903061103.Q,FL313169205.Q
1945:Q4,208239,55192,153047,208239,23582,18508,0,5531,24262,21195,3067,103721,236,599,50,2700,0,2700,20589,0,20589,2051,1538,513,0,0,0,1519,0,0,0,36,0,36,49,0,351,0,1881,0,0,2574,0,2574,0,45838
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,183777,47020,136757,183777,20976,12779,0,5179,23350,22241,1109,88563,192,534,50,3294,0,3294,21635,0,21635,2100,1575,525,0,0,0,1671,0,0,0,31,0,31,50,0,356,0,917,0,0,2100,0,2100,0,47424
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,174498,36356,138142,174498,18829,12291,0,5890,22559,18230,4329,82927,168,438,65,3885,0,3885,20040,0,20040,2151,1613,538,0,0,0,1860,0,0,0,43,0,43,65,0,325,0,262,0,0,2700,0,2700,0,50332
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,166341,38749,127592,166341,17980,12853,0,6277,23333,11565,11768,75561,191,365,75,4413,0,4413,16812,0,16812,2200,1650,550,0,0,0,2073,0,0,0,65,0,65,70,0,453,0,820,0,0,2800,0,2800,0,52756
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,167366,41955,125411,167366,17956,14697,0,6343,18885,11104,7781,79894,265,321,82,4826,0,4826,15298,0,15298,2300,1725,575,0,0,0,2257,0,0,0,104,0,104,85,0,450,0,703,0,0,2900,0,2900,0,55259
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,166557,19000,147557,166557,16948,17870,0,6852,20725,3578,17147,74381,327,294,90,5253,0,5253,13486,0,13486,2345,1759,586,0,0,0,2498,0,0,0,129,0,129,100,0,373,0,586,0,0,4300,0,4300,0,56295
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,166727,47180,119547,166727,16345,18653,0,7332,23604,13193,10411,72967,402,252,100,5417,0,5417,11034,0,11034,2445,1834,611,0,0,0,2918,0,0,0,129,0,129,110,0,428,0,313,0,0,4278,0,4278,0,56534
1952:Q1,165360,45942,119418,165360,17164,17862,0,7680,22228,11810,10418,72627,433,252,102,5445,0,5445,10818,0,10818,2487,1865,622,0,0,0,3070,0,0,0,137,0,137,113,0,565,0,191,0,0,4186,0,4186,0,56633
1952:Q2,165031,45642,119389,165031,16894,16635,0,8140,22506,12202,10304,72503,471,259,103,5348,0,5348,10363,0,10363,2483,1862,621,0,0,0,3148,0,0,0,141,0,141,117,0,496,0,1121,0,0,4303,0,4303,0,56948
1952:Q3,167863,44970,122893,167863,18019,17018,0,8218,23215,12889,10326,73072,425,267,104,5693,0,5693,10455,0,10455,2468,1851,617,0,0,0,3313,0,0,0,144,0,144,121,0,483,0,180,0,0,4668,0,4668,0,57389
1952:Q4,171619,38425,133194,171619,18216,17647,0,8538,24034,5738,18296,74556,445,271,106,5774,0,5774,10252,0,10252,2479,1859,620,0,0,0,3374,0,0,0,130,0,130,125,0,495,0,709,0,0,4468,0,4468,0,57584
1953:Q1,168191,35170,133021,168191,17435,18164,0,8826,23269,5511,17758,71948,415,271,107,5877,0,5877,10120,0,10120,2513,1885,628,0,0,0,3465,0,0,0,140,0,140,129,0,695,0,208,0,0,4609,0,4609,0,57992
1953:Q2,168581,35561,133020,168581,20054,16454,0,8988,24146,6423,17723,70135,423,269,108,5884,0,5884,10090,0,10090,2567,1925,642,0,0,0,3655,0,0,0,134,0,134,132,0,574,0,145,0,0,4823,0,4823,0,58062
1953:Q3,175018,45877,129141,175018,19865,18232,0,9114,24635,7795,16840,73636,416,266,109,5957,0,5957,9987,0,9987,2620,1965,655,0,0,0,3830,0,0,0,141,0,141,136,0,592,0,426,0,0,5056,0,5056,0,58165
1953:Q4,176814,45897,130917,176814,18667,19240,0,9342,25317,8413,16904,74555,435,263,112,6025,0,6025,9829,0,9829,2636,1977,659,0,0,0,3860,0,0,0,129,0,129,140,0,589,0,640,0,0,5035,0,5035,0,58312
1954:Q1,172200,40390,131810,172200,18775,17887,0,9402,24232,7962,16270,71759,423,265,114,5986,0,5986,9720,0,9720,2652,1989,663,0,0,0,4043,0,0,0,148,0,148,144,0,901,0,443,0,0,5306,0,5306,0,58382
1954:Q2,171915,37920,133995,171915,18010,14874,0,9466,24737,8916,15821,74515,440,270,116,5993,0,5993,9399,0,9399,2644,1983,661,0,0,0,4234,0,0,0,137,0,137,147,0,872,0,869,0,0,5192,0,5192,0,58818
1954:Q3,175045,37694,137351,175045,16498,16366,0,9638,23946,8149,15797,78202,449,275,118,6057,0,6057,9138,0,9138,2647,1985,662,0,0,0,4310,0,0,0,143,0,143,151,0,896,0,674,0,0,5537,0,5537,0,58984
1954:Q4,178532,47964,130568,178532,16121,17523,0,9789,24888,16049,8839,79769,490,277,120,6137,0,6137,9070,0,9070,2675,2006,669,0,0,0,4383,0,0,0,154,0,154,155,0,849,0,666,0,0,5466,0,5466,0,59325
1955:Q1,173973,37227,136746,173973,17475,17543,0,9978,23505,10843,12662,75199,456,275,123,6022,0,6022,9136,0,9136,2735,2051,684,0,0,0,4438,0,0,0,152,0,152,160,0,982,0,322,0,0,5472,0,5472,0,59512
1955:Q2,172997,33350,139647,172997,18056,16788,0,10248,23407,9106,14301,74261,475,269,127,5964,0,5964,9086,0,9086,2839,2129,710,0,0,0,4478,0,0,0,179,0,179,165,0,869,0,228,0,0,5558,0,5558,0,59886
1955:Q3,175191,29857,145334,175191,19003,18619,0,10550,23402,3527,19875,73047,461,263,131,6045,0,6045,9164,0,9164,2936,2202,734,0,0,0,4566,0,0,0,233,0,233,170,0,637,0,218,0,0,5746,0,5746,0,60153
1955:Q4,178189,38054,140135,178189,18614,21281,0,10936,24391,7424,16967,72461,465,259,135,6000,0,6000,8576,0,8576,2972,2229,743,0,0,0,4666,0,0,0,255,0,255,175,0,936,0,264,0,0,5803,0,5803,0,60277
1956:Q1,173724,41572,132152,173724,20077,18878,0,11198,23303,11632,11671,69703,453,260,139,5834,0,5834,8077,0,8077,2949,2212,737,0,0,0,4879,0,0,0,238,0,238,180,0,1256,0,111,0,0,6189,0,6189,0,60458
1956:Q2,168502,37111,131391,168502,19863,15667,0,11531,23457,11757,11700,67621,481,265,143,5683,0,5683,7954,0,7954,2895,2171,724,0,0,0,4903,0,0,0,221,0,221,185,0,1267,0,122,0,0,6244,0,6244,0,60697
1956:Q3,169476,40330,129146,169476,20394,15575,0,11779,23293,11634,11659,67949,508,270,147,5655,0,5655,7834,0,7834,2817,2113,704,0,0,0,4929,0,0,0,265,0,265,190,0,1257,0,114,0,0,6500,0,6500,0,61156
1956:Q4,172637,44202,128435,172637,20090,16718,0,11988,24610,12654,11956,69353,518,274,150,5657,0,5657,7555,0,7555,2751,2063,688,0,0,0,4944,0,0,0,276,0,276,195,0,1226,0,243,0,0,6089,0,6089,0,61046
1957:Q1,171487,44695,126792,171487,21276,16166,0,12017,22666,11667,10999,69737,484,277,154,5530,0,5530,7478,0,7478,2677,2008,669,0,0,0,5061,0,0,0,280,0,280,201,0,1342,0,113,0,0,6028,0,6028,0,60526
1957:Q2,166057,43893,122164,166057,21603,14227,0,12006,22635,11621,11014,66360,501,279,158,5423,0,5423,7348,0,7348,2604,1953,651,0,0,0,5114,0,0,0,292,0,292,207,0,1269,0,87,0,0,5944,0,5944,0,60364
1957:Q3,170669,61668,109001,170669,22998,14773,0,11867,22752,20511,2241,69467,489,281,162,5437,0,5437,7289,0,7289,2535,1901,634,0,0,0,5147,0,0,0,291,0,291,213,0,1137,0,223,0,0,5608,0,5608,0,59922
1957:Q4,171843,61411,110432,171843,23231,15589,0,11660,23719,20918,2801,68661,487,284,165,5480,0,5480,7029,0,7029,2461,1846,615,0,0,0,5058,0,0,0,277,0,277,220,0,1143,0,449,0,0,5930,0,5930,0,59622
1958:Q1,170060,54500,115560,170060,22603,14394,0,11326,23125,20839,2286,69928,473,289,169,5248,0,5248,7087,0,7087,2411,1808,603,0,0,0,5104,0,0,0,314,0,314,227,0,1742,0,332,0,0,5288,0,5288,0,59857
1958:Q2,173354,55326,118028,173354,22996,12340,0,11395,25138,22649,2489,72954,501,296,173,5160,0,5160,7075,0,7075,2432,1824,608,0,0,0,4950,0,0,0,401,0,401,234,0,1631,0,867,0,0,4811,0,4811,0,60049
1958:Q3,173914,61186,112728,173914,20619,13175,0,11471,24660,22492,2168,75134,482,302,177,5265,0,5265,7295,0,7295,2431,1823,608,0,0,0,4960,0,0,0,356,0,356,242,0,1497,0,199,0,0,5649,0,5649,0,60196
1958:Q4,181096,66112,114984,181096,20770,16092,0,11627,26252,20900,5352,76727,510,303,180,5439,0,5439,7183,0,7183,2451,1838,613,0,0,0,5021,0,0,0,401,0,401,249,0,1252,0,604,0,0,6035,0,6035,0,60148
1959:Q1,181118,66624,114494,181118,22345,17280,0,11848,25424,20146,5278,74034,513,233,183,5360,0,5360,7212,0,7212,2476,1857,619,0,0,0,5102,0,0,0,432,0,432,269,0,1457,0,408,0,0,6542,0,6542,0,60045
1959:Q2,182046,65860,116186,182046,22258,18104,0,12165,25994,20674,5320,71638,518,173,185,5356,0,5356,7228,0,7228,2523,1892,631,0,0,0,5126,0,0,0,432,0,432,289,0,1328,0,275,0,0,8454,0,8454,0,59998
1959:Q3,186548,57471,129077,186548,23793,20311,0,12375,26513,13069,13444,69983,523,87,187,5476,0,5476,7183,0,7183,2587,1940,647,0,0,0,5350,0,0,0,517,0,517,310,0,1317,0,401,0,0,9635,0,9635,0,59772
1959:Q4,190148,59312,130836,190148,25512,21621,0,12842,26606,13113,13493,69166,526,81,190,5626,0,5626,6868,0,6868,2619,1964,655,0,0,0,5462,0,0,0,556,0,556,333,0,1352,0,428,0,0,10360,0,10360,0,59236
1960:Q1,186451,52391,134060,186451,29565,19986,0,13200,25166,9770,15396,64111,523,83,192,5532,0,5532,6828,0,6828,2537,1903,634,0,0,0,5663,0,0,0,605,0,605,359,0,1556,0,158,0,0,10387,0,10387,0,59152
1960:Q2,184325,51065,133260,184325,28513,18247,0,13511,26323,10978,15345,63794,519,89,194,5437,0,5437,6574,0,6574,2457,1843,614,0,0,0,5724,0,0,0,615,0,615,391,0,1437,0,204,0,0,10296,0,10296,0,59606
1960:Q3,186230,61932,124298,186230,27973,16446,0,13775,26480,16814,9666,67184,515,96,196,5439,0,5439,6577,0,6577,2408,1806,602,0,0,0,5653,0,0,0,608,0,608,421,0,1450,0,580,0,0,10429,0,10429,0,59667
1960:Q4,188350,57888,130462,188350,26502,15752,0,13739,26984,11960,15024,70347,507,101,200,5446,0,5446,6427,0,6427,2404,1803,601,0,0,0,5711,0,0,0,619,0,619,445,0,1494,0,1021,0,0,10651,0,10651,0,59782
1961:Q1,185688,48014,137674,185688,26023,15225,0,13581,26388,7725,18663,69643,555,104,204,5239,0,5239,6543,0,6543,2407,1805,602,0,0,0,5855,0,0,0,539,0,539,447,0,1757,0,543,0,0,10635,0,10635,0,60213
1961:Q2,185994,50061,135933,185994,24589,14636,0,13946,27003,9351,17652,71610,603,106,209,5118,0,5118,6408,0,6408,2429,1822,607,0,0,0,5872,0,0,0,511,0,511,441,0,1708,0,517,0,0,10288,0,10288,0,61022
1961:Q3,191041,47448,143593,191041,25921,13288,0,13790,26881,4591,22290,75977,680,107,214,5206,0,5206,6428,0,6428,2431,1823,608,0,0,0,5865,0,0,0,549,0,549,432,0,1635,0,763,0,0,10874,0,10874,0,61375
1961:Q4,194206,48953,145253,194206,25449,14096,0,14002,28722,4863,23859,76484,536,107,220,5358,0,5358,6134,0,6134,2425,1819,606,0,0,0,5800,0,0,0,688,0,688,426,0,1419,0,1305,0,0,11035,0,11035,0,61501
1962:Q1,194302,56413,137889,194302,26353,14217,0,13976,28579,7957,20622,74946,682,109,225,5275,0,5275,6307,0,6307,2421,1816,605,0,0,0,6025,0,0,0,652,0,652,418,0,1952,0,1142,0,0,11023,0,11023,0,61782
1962:Q2,194009,55583,138426,194009,26370,13061,0,14220,29413,8446,20967,74650,827,111,229,5214,0,5214,6279,0,6279,2459,1844,615,0,0,0,6075,0,0,0,511,0,511,406,0,1594,0,1122,0,0,11468,0,11468,0,62646
1962:Q3,194901,60085,134816,194901,27948,11645,0,14581,28802,11911,16891,74555,693,114,234,5276,0,5276,6331,0,6331,2524,1893,631,0,0,0,6125,0,0,0,789,0,789,398,0,1622,0,1146,0,0,12118,0,12118,0,62811
1962:Q4,199754,70960,128794,199754,26699,12307,0,15157,30478,15624,14854,76653,506,119,240,5439,0,5439,6170,0,6170,2600,1950,650,0,0,0,6100,0,0,0,737,0,737,402,0,1792,0,1976,0,0,12379,0,12379,0,63018
1963:Q1,199827,70290,129537,199827,23170,16367,0,16107,30337,16046,14291,75854,521,127,249,5329,0,5329,6022,0,6022,2628,1971,657,0,0,0,6200,0,0,0,718,0,718,420,0,2232,0,1048,0,0,12498,0,12498,0,63445
1963:Q2,199094,69399,129695,199094,22610,15252,0,16398,31827,17786,14041,74477,538,139,260,5336,0,5336,5746,0,5746,2655,1991,664,0,0,0,6475,0,0,0,589,0,589,452,0,2326,0,963,0,0,13051,0,13051,0,64954
1963:Q3,199333,63712,135621,199333,23997,14602,0,16966,32007,14032,17975,72821,422,150,271,5457,0,5457,5841,0,5841,2640,1980,660,0,0,0,6550,0,0,0,728,0,728,486,0,1832,0,1394,0,0,13169,0,13169,0,65052
1963:Q4,202211,62478,139733,202211,24418,15128,0,16314,33582,11207,22375,74188,399,155,280,5597,0,5597,5813,0,5813,2679,2009,670,0,0,0,6510,0,0,0,728,0,728,510,0,2159,0,718,0,0,13033,0,13033,0,65634
1964:Q1,202520,56746,145774,202520,25798,16148,0,16504,33183,7413,25770,72926,398,155,286,5472,0,5472,5788,0,5788,2872,2154,718,0,0,0,6725,0,0,0,823,0,823,527,0,1952,0,569,0,0,12394,0,12394,0,65709
1964:Q2,200805,50740,150065,200805,25825,15240,0,16446,34494,5171,29323,70634,396,151,290,5328,0,5328,5715,0,5715,2665,1999,666,0,0,0,6975,0,0,0,831,0,831,539,0,1988,0,1021,0,0,12267,0,12267,0,66851
1964:Q3,203501,53345,150156,203501,25619,14402,0,16793,34950,4967,29983,72165,485,146,293,5498,0,5498,5840,0,5840,2661,1996,665,0,0,0,7066,0,0,0,911,0,911,548,0,1773,0,1535,0,0,12816,0,12816,0,67213
1964:Q4,206767,56476,150291,206767,24486,14481,0,17333,36506,6044,30462,74423,442,142,295,5629,0,5629,5594,0,5594,2715,2036,679,0,0,0,7030,0,0,0,767,0,767,552,0,1677,0,1374,0,0,13321,0,13321,0,67494
1965:Q1,206174,56525,149649,206174,27113,14092,0,17597,37091,6826,30265,71078,433,141,297,5572,0,5572,5639,0,5639,2909,2182,727,0,0,0,7417,0,0,0,824,0,824,553,0,1925,0,955,0,0,12538,0,12538,0,67922
1965:Q2,202972,53665,149307,202972,26678,12320,0,17987,38700,7761,30939,68573,425,141,298,5377,0,5377,5358,0,5358,2709,2032,677,0,0,0,7590,0,0,0,638,0,638,547,0,1835,0,1510,0,0,12286,0,12286,0,69016
1965:Q3,201452,53655,147797,201452,26280,11829,0,18760,39269,8396,30873,67578,482,141,299,5420,0,5420,5298,0,5298,2457,1843,614,0,0,0,7351,0,0,0,912,0,912,540,0,1734,0,595,0,0,12507,0,12507,0,69432
1965:Q4,207025,60177,146848,207025,24774,12548,0,19524,40478,9101,31377,71192,509,141,303,5464,0,5464,5119,0,5119,2539,1904,635,0,0,0,7153,0,0,0,811,0,811,534,0,1798,0,1082,0,0,13056,0,13056,0,69712
1966:Q1,206960,61133,145827,206960,28787,12958,0,19835,40196,9237,30959,67623,458,145,308,5252,0,5252,5171,0,5171,2479,1859,620,0,0,0,7312,0,0,0,1055,0,1055,528,0,1755,0,909,0,0,12189,0,12189,0,69904
1966:Q2,200411,56581,143830,200411,25623,11330,0,20346,41769,10447,31322,64852,408,151,315,5093,0,5093,4921,0,4921,2377,1783,594,0,0,0,7046,0,0,0,1171,0,1171,521,0,2036,0,818,0,0,11634,0,11634,0,71700
1966:Q3,202581,65346,137235,202581,28546,10774,0,20248,41537,15456,26081,65036,483,158,322,5080,0,5080,4852,0,4852,2351,1763,588,0,0,0,7166,0,0,0,1449,0,1449,514,0,1923,0,893,0,0,11249,0,11249,0,71627
1966:Q4,208138,70603,137535,208138,27902,11054,0,20097,43655,16155,27500,67624,459,163,327,4991,0,4991,4921,0,4921,2304,1728,576,0,0,0,7115,0,0,0,1437,0,1437,511,0,2684,0,1742,0,0,11152,0,11152,0,72155
1967:Q1,209601,72502,137099,209601,27027,10445,0,20115,44029,17160,26869,69590,435,172,329,4623,0,4623,4855,0,4855,2148,1611,537,0,0,0,6800,0,0,0,1217,0,1217,511,0,3658,0,2140,0,0,11507,0,11507,0,71714
1967:Q2,199980,64145,135835,199980,24029,7908,0,20003,46318,18359,27959,65673,407,183,328,4335,0,4335,4690,0,4690,1999,1499,500,0,0,0,6646,0,0,0,902,0,902,512,0,3800,0,710,0,0,11537,0,11537,0,72776
1967:Q3,208290,63746,144544,208290,26253,7287,50,20033,46402,14097,32305,72743,491,194,328,4325,0,4325,4717,0,4717,1967,1475,492,0,0,0,6308,0,0,0,694,0,694,517,0,2974,0,985,0,0,12022,0,12022,0,73061
1967:Q4,216899,69870,147029,216899,27721,8614,100,19742,48980,15975,33005,75149,576,204,331,4286,0,4286,4683,0,4683,1987,1490,497,0,0,0,6165,0,0,0,921,0,921,528,0,2690,0,983,0,0,13239,0,13239,0,73563
1968:Q1,222114,71300,150814,222114,32074,9950,150,19320,49495,16161,33334,74850,590,210,334,4170,0,4170,4678,0,4678,2207,1655,552,0,0,0,6219,0,0,0,1167,0,1167,548,0,2850,0,968,0,0,12334,0,12334,0,73731
1968:Q2,217294,64440,152854,217294,30503,8627,200,19303,52230,18380,33850,71972,608,213,334,4007,0,4007,4447,0,4447,2181,1636,545,0,0,0,6120,0,0,0,1047,0,1047,579,0,2998,0,905,0,0,11020,0,11020,0,75232
1968:Q3,223989,69779,154210,223989,31806,7879,250,19514,52405,18794,33611,75546,630,216,339,3995,0,3995,4528,0,4528,2120,1590,530,0,0,0,6023,0,0,0,1405,0,1405,609,0,2585,0,2543,0,0,11596,0,11596,0,75270
1968:Q4,225679,75012,150667,225679,29817,8959,300,19926,52937,18756,34181,77213,620,220,357,3933,0,3933,4456,0,4456,2359,1769,590,0,0,0,5921,0,0,0,1143,0,1143,625,0,2550,0,1766,0,0,12577,0,12577,0,75546
1969:Q1,225552,77547,148005,225552,37157,9399,350,20432,52010,17583,34427,72145,622,226,390,3781,0,3781,4339,0,4339,2460,1845,615,0,0,0,5850,0,0,0,1571,0,1571,630,0,2275,0,733,0,0,11182,0,11182,0,75642
1969:Q2,213596,68356,145240,213596,30483,7949,400,20956,54095,19466,34629,66693,623,232,441,3939,0,3939,4129,0,4129,2191,1643,548,0,0,0,5815,0,0,0,959,0,959,630,0,2334,0,1120,0,0,10607,0,10607,0,76730
1969:Q3,219837,73972,145865,219837,39061,5786,450,21751,53932,19149,34783,65293,631,239,492,3479,0,3479,4088,0,4088,2159,1619,540,0,0,0,5696,0,0,0,1010,0,1010,621,0,1725,0,866,0,0,12558,0,12558,0,76987
1969:Q4,224726,80571,144155,224726,41065,5646,500,23007,57154,22265,34889,65538,641,248,527,3448,0,3448,4124,0,4124,2183,1637,546,0,0,0,5437,0,0,0,675,0,675,601,0,1964,0,1728,0,0,10240,0,10240,0,77248
1970:Q1,227467,83729,143738,227467,46525,5255,550,23963,55578,20897,34681,61050,350,255,546,3350,0,3350,4080,0,4080,2081,1561,520,0,0,0,5335,0,0,0,476,0,476,646,0,3256,0,2155,0,0,12016,0,12016,0,76931
1970:Q2,221776,76154,145622,221776,36944,6065,600,24366,57714,22407,35307,60310,394,261,553,3242,0,3242,4014,0,4014,1984,1488,496,0,0,0,5179,0,0,0,2563,0,2563,579,0,2701,0,620,0,0,13687,0,13687,0,78702
1970:Q3,229196,80691,148505,229196,34066,6966,650,23868,59975,24110,35865,65415,488,268,555,3388,0,3388,4147,0,4147,2152,1614,538,0,0,0,5274,0,0,0,822,0,822,518,0,2212,0,2007,0,0,16425,0,16425,0,78891
1970:Q4,237659,87923,149736,237659,30777,6283,700,22940,62142,25965,36177,71287,497,277,558,3398,0,3398,4042,0,4042,2124,1593,531,0,0,0,5104,0,0,0,850,0,850,491,0,3059,0,3398,0,0,19732,0,19732,0,79792
